delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,time_variance_hours,on_time,cost_per_km,cost_per_kg
250.99,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,8.0,8.0,no,delivered,3,1632.7206,0.0,True,5.497375757575758,34.768326235093696
250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,2.0,3.0,no,delivered,5,640.17,-1.0,True,7.144754464285715,13.50854610677358
250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,10.0,16.0,no,delivered,4,1448.17,-6.0,True,5.294954296160878,53.855336556340646
250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,6.0,8.0,no,delivered,3,1486.57,-2.0,True,5.511939191694475,117.14499605988968
250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,9.0,16.0,no,delivered,4,1394.56,-7.0,True,5.432645111024542,37.67044840626688
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,4.0,2.0,yes,delayed,3,391.45,2.0,False,8.087809917355372,11.80844645550528
250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,6.0,8.0,no,delivered,3,1222.87,-2.0,True,6.166767523953605,27.92578214204156
250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,4.0,8.0,no,delivered,3,800.89,-4.0,True,6.988568935427574,18.787004456955195
250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,5.0,8.0,no,delivered,5,854.18,-3.0,True,5.9984550561797745,60.75248933143669
250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,3.0,8.0,no,delivered,5,423.34,-5.0,True,8.988110403397027,14.458333333333332
250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,5.0,8.0,no,delivered,4,1632.15,-3.0,True,5.566678035470669,74.0204081632653
250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,3.0,16.0,no,delivered,5,541.44,-13.0,True,6.7343283582089555,11.648881239242687
250.99,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,8.0,16.0,no,delivered,4,1350.18,-8.0,True,5.239348079161816,65.67023346303503
250.99,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,6.0,2.0,yes,failed,1,155.08,4.0,False,8.162105263157896,46.15476190476191
250.99,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,12.0,16.0,no,delivered,3,1263.27,-4.0,True,5.3100882723833545,51.37332248881659
250.99,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,8.0,6.0,yes,delayed,3,1281.51,2.0,False,5.355244463017133,109.81233933161954
250.99,fedex,documents,bike,standard,west,stormy,79.0,0.73,10.0,24.0,no,delivered,5,397.19,-14.0,True,5.027721518987342,544.0958904109589
250.99,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,11.0,24.0,no,delivered,5,990.36,-13.0,True,5.801757469244289,21.708899605436212
250.99,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,4.0,8.0,no,delivered,3,651.1,-4.0,True,7.234444444444445,19.32047477744807
250.99,fedex,cosmetics,truck,express,north,rainy,64.0,6.03,7.0,3.0,yes,failed,2,388.09,4.0,False,6.06390625,64.35986733001657
250.99,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,6.0,16.0,no,delivered,4,986.8,-10.0,True,5.308230231307154,51.66492146596858
250.99,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,9.0,16.0,no,delivered,4,1131.74,-7.0,True,5.193850390087196,80.37926136363636
250.99,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,6.0,8.0,no,delivered,5,1293.05,-2.0,True,6.039467538533396,31.65361077111383
250.99,ecom express,clothing,bike,standard,central,clear,251.7,34.9,8.0,24.0,no,delivered,4,1363.2,-16.0,True,5.415971394517283,39.060171919770774
250.99,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,7.0,24.0,no,delivered,5,1091.51,-17.0,True,5.079153094462541,192.50617283950618
250.99,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,6.0,16.0,no,delivered,4,578.59,-10.0,True,5.013778162911612,863.5671641791045
250.99,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,9.0,7.0,yes,delayed,3,1632.7206,2.0,False,5.557251872021784,39.79333658298806
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,8.0,24.0,no,delivered,3,1574.01,-16.0,True,5.488179916317991,33.72637668737947
250.99,fedex,furniture,truck,express,south,hot,136.1,48.1,3.0,4.0,no,delivered,5,874.8,-1.0,True,6.427626745040412,18.187110187110186
250.99,dhl,furniture,bike,two day,east,rainy,291.4,6.12,13.0,16.0,no,delivered,5,1475.36,-3.0,True,5.063006177076184,241.07189542483658
250.99,fedex,furniture,bike,standard,south,hot,295.0,19.68,9.0,24.0,no,delivered,5,1534.04,-15.0,True,5.200135593220339,77.94918699186992
250.99,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,10.0,8.0,yes,failed,1,1235.37,2.0,False,5.532333184057321,196.4022257551669
250.99,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,10.0,6.0,yes,failed,1,1402.69,4.0,False,5.784288659793814,30.016905628076184
250.99,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,8.0,16.0,no,delivered,5,243.66,-8.0,True,6.941880341880341,10.724471830985916
250.99,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,5.0,3.0,yes,delayed,2,595.53,2.0,False,7.280317848410758,13.08569545154911
250.99,delhivery,documents,bike,same day,east,clear,37.6,22.81,3.0,8.0,no,delivered,4,356.43,-5.0,True,9.479521276595744,15.626041209995616
250.99,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,5.0,2.0,yes,delayed,2,298.16,3.0,False,6.370940170940172,63.16949152542374
250.99,amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,5.0,8.0,no,delivered,5,1321.0,-3.0,True,5.65981148243359,73.38888888888889
250.99,ekart,documents,bike,standard,east,rainy,62.2,48.58,7.0,24.0,no,delivered,3,456.74,-17.0,True,7.343086816720257,9.401811445039112
250.99,shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,6.0,24.0,no,delivered,4,701.55,-18.0,True,6.153947368421052,15.99885974914481
250.99,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,6.0,8.0,no,delivered,5,834.87,-2.0,True,6.348821292775665,32.37184955409074
250.99,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,3.0,2.0,yes,delayed,3,206.74,1.0,False,9.660747663551403,12.469240048250906
250.99,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,7.0,24.0,no,delivered,5,1317.61,-17.0,True,5.097137330754352,157.4205495818399
250.99,dhl,furniture,van,two day,east,rainy,253.9,7.07,9.0,16.0,no,delivered,3,1290.71,-7.0,True,5.083536825521859,182.56152758132956
250.99,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,6.0,8.0,no,delivered,4,157.38,-2.0,True,23.48955223880597,19.771356783919597
250.99,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,5.0,24.0,no,delivered,4,970.6,-19.0,True,5.449747332959012,36.352059925093634
250.99,fedex,cosmetics,truck,standard,south,hot,180.0,35.04,4.0,24.0,no,delivered,3,1005.12,-20.0,True,5.584,28.684931506849317
250.99,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,11.0,16.0,no,delivered,4,984.38,-5.0,True,5.238850452368281,65.80080213903743
